Year,Ceremony,Award,Winner,Name,Film
1935,8,Outstanding Production,,Alice Adams ,RKO Radio
1935,8,Outstanding Production,,Broadway Melody of 1936 ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,,Captain Blood ,Cosmopolitan [Third]
1935,8,Outstanding Production,,David Copperfield ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,,The Informer ,RKO Radio [Second]
1935,8,Outstanding Production,,Les Miserables ,20th Century
1935,8,Outstanding Production,,The Lives of a Bengal Lancer ,Paramount
1935,8,Outstanding Production,,A Midsummer Night's Dream ,Warner Brothers
1935,8,Outstanding Production,1,Mutiny on the Bounty ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,,Naughty Marietta ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,,Ruggles of Red Gap ,Paramount
1935,8,Outstanding Production,,Top Hat ,RKO Radio
1935,8,Short Subject (Cartoon),,The Calico Dragon ,Harman-Ising [Third]
1935,8,Short Subject (Cartoon),1,Three Orphan Kittens ,"Walt Disney, Producer"
1935,8,Short Subject (Cartoon),,Who Killed Cock Robin? ,"Walt Disney, Producer [Second]"
1935,8,Short Subject (Comedy),1,How to Sleep ,"Jack Chertok, Producer"
1935,8,Short Subject (Comedy),,"Oh, My Nerves ","Jules White, Producer [Second]"
1935,8,Short Subject (Comedy),,Tit for Tat ,"Hal Roach, Producer [Third]"
1935,8,Short Subject (Novelty),,Audioscopiks ,"Pete Smith, Producer [tied for 2nd]"
1935,8,Short Subject (Novelty),,Camera Thrills ,Universal [tied for 2nd]
1935,8,Short Subject (Novelty),1,Wings over Mt. Everest ,Gaumont British and Skibo Productions
1935,8,Sound Recording,,Bride of Frankenstein ,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
1935,8,Sound Recording,,Captain Blood ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1935,8,Sound Recording,,The Dark Angel ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,8,Sound Recording,,I Dream Too Much ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,8,Sound Recording,,The Lives of a Bengal Lancer ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
1935,8,Sound Recording,,Love Me Forever ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1935,8,Sound Recording,1,Naughty Marietta ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,8,Sound Recording,,"$1,000 a Minute ",Republic Studio Sound Department
1935,8,Sound Recording,,Thanks a Million ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,8,Writing (Original Story),,Broadway Melody of 1936 ,Moss Hart [Third]
1935,8,Writing (Original Story),,G-Men ,Gregory Rogers [Second]
1935,8,Writing (Original Story),,The Gay Deception ,"Don Hartman, Stephen Avery"
1935,8,Writing (Original Story),1,The Scoundrel ,"Ben Hecht, Charles MacArthur"
1935,8,Writing (Screenplay),,Captain Blood ,Casey Robinson [Third]
1935,8,Writing (Screenplay),1,The Informer ,Dudley Nichols
1935,8,Writing (Screenplay),,The Lives of a Bengal Lancer ,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
1935,8,Writing (Screenplay),,Mutiny on the Bounty ,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
1935,8,Special Award,1,David Wark Griffith,
1936,9,Actor,,Gary Cooper,Mr. Deeds Goes to Town
1936,9,Actor,,Walter Huston,Dodsworth
1936,9,Actor,1,Paul Muni,The Story of Louis Pasteur
1936,9,Actor,,William Powell,My Man Godfrey
1936,9,Actor,,Spencer Tracy,San Francisco
1936,9,Actor in a Supporting Role,,Mischa Auer,My Man Godfrey
1936,9,Actor in a Supporting Role,1,Walter Brennan,Come and Get It
1936,9,Actor in a Supporting Role,,Stuart Erwin,Pigskin Parade
1936,9,Actor in a Supporting Role,,Basil Rathbone,Romeo and Juliet
1936,9,Actor in a Supporting Role,,Akim Tamiroff,The General Died at Dawn
1936,9,Actress,,Irene Dunne,Theodora Goes Wild
1936,9,Actress,,Gladys George,Valiant Is the Word for Carrie
1936,9,Actress,,Carole Lombard,My Man Godfrey
1936,9,Actress,1,Luise Rainer,The Great Ziegfeld
1936,9,Actress,,Norma Shearer,Romeo and Juliet
1936,9,Actress in a Supporting Role,,Beulah Bondi,The Gorgeous Hussy
1936,9,Actress in a Supporting Role,,Alice Brady,My Man Godfrey
1936,9,Actress in a Supporting Role,,Bonita Granville,These Three
1936,9,Actress in a Supporting Role,,Maria Ouspenskaya,Dodsworth
1936,9,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse
1936,9,Art Direction,,Anthony Adverse ,Anton Grot
1936,9,Art Direction,1,Dodsworth ,Richard Day
1936,9,Art Direction,,The Great Ziegfeld ,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
1936,9,Art Direction,,Lloyds of London ,William S. Darling
1936,9,Art Direction,,The Magnificent Brute ,"Albert S. D'Agostino, Jack Otterson"
1936,9,Art Direction,,Romeo and Juliet ,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
1936,9,Art Direction,,Winterset ,Perry Ferguson
1936,9,Assistant Director,,Anthony Adverse ,William Cannon
1936,9,Assistant Director,1,The Charge of the Light Brigade ,Jack Sullivan
1936,9,Assistant Director,,The Garden of Allah ,Eric G. Stacey
1936,9,Assistant Director,,The Last of the Mohicans ,Clem Beauchamp
1936,9,Assistant Director,,San Francisco ,Joseph Newman
1936,9,Cinematography,1,Anthony Adverse ,Gaetano Gaudio
1936,9,Cinematography,,The General Died at Dawn ,Victor Milner
1936,9,Cinematography,,The Gorgeous Hussy ,George Folsey
1936,9,Dance Direction,,Busby Berkeley,Love and War number from Gold Diggers of 1937
1936,9,Dance Direction,,Bobby Connolly,1000 Love Songs number from Cain and Mabel
1936,9,Dance Direction,1,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,9,Dance Direction,,Dave Gould,Swingin' the Jinx number from Born to Dance
1936,9,Dance Direction,,Jack Haskell,Skating Ensemble number from One in a Million
1936,9,Dance Direction,,Russell Lewis,The Finale number from Dancing Pirate
1936,9,Dance Direction,,Hermes Pan,Bojangles of Harlem number from Swing Time
1936,9,Directing,,Dodsworth ,William Wyler
1936,9,Directing,,The Great Ziegfeld ,Robert Z. Leonard
1936,9,Directing,1,Mr. Deeds Goes to Town ,Frank Capra
1936,9,Directing,,My Man Godfrey ,Gregory La Cava
1936,9,Directing,,San Francisco ,W. S. Van Dyke
1936,9,Film Editing,1,Anthony Adverse ,Ralph Dawson
1936,9,Film Editing,,Come and Get It ,Edward Curtiss
1936,9,Film Editing,,The Great Ziegfeld ,William S. Gray
1936,9,Film Editing,,Lloyds of London ,Barbara McLean
1936,9,Film Editing,,A Tale of Two Cities ,Conrad A. Nervig
1936,9,Film Editing,,Theodora Goes Wild ,Otto Meyer
1936,9,Music (Scoring),1,Anthony Adverse ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,9,Music (Scoring),,The Charge of the Light Brigade ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1936,9,Music (Scoring),,The Garden of Allah ,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1936,9,Music (Scoring),,The General Died at Dawn ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
1936,9,Music (Scoring),,Winterset ,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
1936,9,Music (Song),,"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson
1936,9,Music (Song),,"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter
1936,9,Music (Song),,"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell
1936,9,Music (Song),,"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke
1936,9,Music (Song),1,"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
1936,9,Music (Song),,"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock
1936,9,Outstanding Production,,Anthony Adverse ,Warner Brothers
1936,9,Outstanding Production,,Dodsworth ,Samuel Goldwyn Productions
1936,9,Outstanding Production,1,The Great Ziegfeld ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,,Libeled Lady ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,,Mr. Deeds Goes to Town ,Columbia
1936,9,Outstanding Production,,Romeo and Juliet ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,,San Francisco ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,,The Story of Louis Pasteur ,Cosmopolitan
1936,9,Outstanding Production,,A Tale of Two Cities ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,,Three Smart Girls ,Universal
1936,9,Short Subject (Cartoon),1,The Country Cousin ,"Walt Disney, Producer"
1936,9,Short Subject (Cartoon),,Old Mill Pond ,Harman-Ising
1936,9,Short Subject (Cartoon),,Sinbad the Sailor ,Paramount
1936,9,Short Subject (Color),1,Give Me Liberty ,Warner Brothers
1936,9,Short Subject (Color),,La Fiesta de Santa Barbara ,"Lewis Lewyn, Producer"
1936,9,Short Subject (Color),,Popular Science J-6-2 ,Paramount
1936,9,Short Subject (One Reel),1,Bored of Education ,"Hal Roach, Producer"
1936,9,Short Subject (One Reel),,Moscow Moods ,Paramount
1936,9,Short Subject (One Reel),,"Wanted, a Master ","Pete Smith, Producer"
1936,9,Short Subject (Two Reel),,Double or Nothing ,Warner Brothers
1936,9,Short Subject (Two Reel),,Dummy Ache ,RKO Radio
1936,9,Short Subject (Two Reel),1,The Public Pays ,Metro-Goldwyn-Mayer
1936,9,Sound Recording,,Banjo on My Knee ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1936,9,Sound Recording,,The Charge of the Light Brigade ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1936,9,Sound Recording,,Dodsworth ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1936,9,Sound Recording,,General Spanky ,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1936,9,Sound Recording,,Mr. Deeds Goes to Town ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1936,9,Sound Recording,1,San Francisco ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,9,Sound Recording,,The Texas Rangers ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1936,9,Sound Recording,,That Girl from Paris ,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director"
1936,9,Sound Recording,,Three Smart Girls ,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
1936,9,Writing (Original Story),,Fury ,Norman Krasna
1936,9,Writing (Original Story),,The Great Ziegfeld ,William Anthony McGuire
1936,9,Writing (Original Story),,San Francisco ,Robert Hopkins
1936,9,Writing (Original Story),1,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,9,Writing (Original Story),,Three Smart Girls ,Adele Comandini
1936,9,Writing (Screenplay),,After the Thin Man ,"Frances Goodrich, Albert Hackett"
1936,9,Writing (Screenplay),,Dodsworth ,Sidney Howard
1936,9,Writing (Screenplay),,Mr. Deeds Goes to Town ,Robert Riskin
1936,9,Writing (Screenplay),,My Man Godfrey ,"Eric Hatch, Morris Ryskind"
1936,9,Writing (Screenplay),1,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,9,Special Award,1,The March of Time,
1936,9,Special Award,1,W. Howard Greene and Harold Rosson,The Garden of Allah
1937,10,Actor,,Charles Boyer,Conquest
1937,10,Actor,,Fredric March,A Star Is Born
1937,10,Actor,,Robert Montgomery,Night Must Fall
1937,10,Actor,,Paul Muni,The Life of Emile Zola
1937,10,Actor,1,Spencer Tracy,Captains Courageous
1937,10,Actor in a Supporting Role,,Ralph Bellamy,The Awful Truth
1937,10,Actor in a Supporting Role,,Thomas Mitchell,The Hurricane
1937,10,Actor in a Supporting Role,1,Joseph Schildkraut,The Life of Emile Zola
1937,10,Actor in a Supporting Role,,H. B. Warner,Lost Horizon
1937,10,Actor in a Supporting Role,,Roland Young,Topper
1937,10,Actress,,Irene Dunne,The Awful Truth
1937,10,Actress,,Greta Garbo,Camille
1937,10,Actress,,Janet Gaynor,A Star Is Born
1937,10,Actress,1,Luise Rainer,The Good Earth
1937,10,Actress,,Barbara Stanwyck,Stella Dallas
1937,10,Actress in a Supporting Role,1,Alice Brady,In Old Chicago
1937,10,Actress in a Supporting Role,,Andrea Leeds,Stage Door
1937,10,Actress in a Supporting Role,,Anne Shirley,Stella Dallas
1937,10,Actress in a Supporting Role,,Claire Trevor,Dead End
1937,10,Actress in a Supporting Role,,Dame May Whitty,Night Must Fall
1937,10,Art Direction,,Conquest ,"Cedric Gibbons, William Horning"
1937,10,Art Direction,,A Damsel in Distress ,Carroll Clark
1937,10,Art Direction,,Dead End ,Richard Day
1937,10,Art Direction,,Every Day's a Holiday ,Wiard Ihnen
1937,10,Art Direction,,The Life of Emile Zola ,Anton Grot
1937,10,Art Direction,1,Lost Horizon ,Stephen Goosson
1937,10,Art Direction,,Manhattan Merry-Go-Round ,John Victor Mackay
1937,10,Art Direction,,The Prisoner of Zenda ,Lyle Wheeler
1937,10,Art Direction,,Souls at Sea ,"Hans Dreier, Roland Anderson"
1937,10,Art Direction,,Walter Wanger's Vogues of 1938 ,Alexander Toluboff
1937,10,Art Direction,,Wee Willie Winkie ,"William S. Darling, David Hall"
1937,10,Art Direction,,You're a Sweetheart ,Jack Otterson
1937,10,Assistant Director,1,In Old Chicago ,Robert Webb
1937,10,Assistant Director,,The Life of Emile Zola ,Russ Saunders
1937,10,Assistant Director,,Lost Horizon ,"C. C. Coleman, Jr."
1937,10,Assistant Director,,Souls at Sea ,Hal Walker
1937,10,Assistant Director,,A Star Is Born ,Eric Stacey
1937,10,Cinematography,,Dead End ,Gregg Toland
1937,10,Cinematography,1,The Good Earth ,Karl Freund
1937,10,Cinematography,,Wings over Honolulu ,Joseph Valentine
1937,10,Dance Direction,,Busby Berkeley,The Finale number from Varsity Show
1937,10,Dance Direction,,Bobby Connolly,"Too Marvelous for Words number from Ready, Willing and Able"
1937,10,Dance Direction,,Dave Gould,All God's Children Got Rhythm number from A Day at the Races
1937,10,Dance Direction,,Sammy Lee,Swing Is Here to Stay number from Ali Baba Goes to Town
1937,10,Dance Direction,,Harry Losee,Prince Igor Suite number from Thin Ice
1937,10,Dance Direction,1,Hermes Pan,Fun House number from A Damsel in Distress
1937,10,Dance Direction,,LeRoy Prinz,Luau number from Waikiki Wedding
1937,10,Directing,1,The Awful Truth ,Leo McCarey
1937,10,Directing,,The Good Earth ,Sidney Franklin
1937,10,Directing,,The Life of Emile Zola ,William Dieterle
1937,10,Directing,,Stage Door ,Gregory La Cava
1937,10,Directing,,A Star Is Born ,William Wellman
1937,10,Film Editing,,The Awful Truth ,Al Clark
1937,10,Film Editing,,Captains Courageous ,Elmo Veron
1937,10,Film Editing,,The Good Earth ,Basil Wrangell
1937,10,Film Editing,1,Lost Horizon ,"Gene Havlick, Gene Milford"
1937,10,Film Editing,,One Hundred Men and a Girl ,Bernard W. Burton
1937,10,Music (Scoring),,The Hurricane ,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)"
1937,10,Music (Scoring),,In Old Chicago ,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)"
1937,10,Music (Scoring),,The Life of Emile Zola ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1937,10,Music (Scoring),,Lost Horizon ,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)"
1937,10,Music (Scoring),,Make a Wish ,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)"
1937,10,Music (Scoring),,Maytime ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)"
1937,10,Music (Scoring),1,One Hundred Men and a Girl ,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,10,Music (Scoring),,Portia on Trial ,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)"
1937,10,Music (Scoring),,The Prisoner of Zenda ,"Selznick International Pictures Music Department, Alfred Newman, musical director  (Score by Alfred Newman)"
1937,10,Music (Scoring),,Quality Street ,"RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)"
1937,10,Music (Scoring),,Snow White and the Seven Dwarfs ,"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)"
1937,10,Music (Scoring),,Something to Sing About ,"Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)"
1937,10,Music (Scoring),,Souls at Sea ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)"
1937,10,Music (Scoring),,Way Out West ,"Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)"
1937,10,Music (Song),,"""Remember Me"" from Mr. Dodd Takes the Air",Music by Harry Warren; Lyrics by Al Dubin
1937,10,Music (Song),1,"""Sweet Leilani"" from Waikiki Wedding",Music and Lyrics by Harry Owens
1937,10,Music (Song),,"""That Old Feeling"" from Walter Wanger's Vogues of 1938",Music by Sammy Fain; Lyrics by Lew Brown
1937,10,Music (Song),,"""They Can't Take That Away From Me"" from Shall We Dance",Music by George Gershwin; Lyrics by Ira Gershwin
1937,10,Music (Song),,"""Whispers In The Dark"" from Artists and Models",Music by Frederick Hollander; Lyrics by Leo Robin
1937,10,Outstanding Production,,The Awful Truth ,Columbia
1937,10,Outstanding Production,,Captains Courageous ,Metro-Goldwyn-Mayer
1937,10,Outstanding Production,,Dead End ,Samuel Goldwyn Productions
1937,10,Outstanding Production,,The Good Earth ,Metro-Goldwyn-Mayer
1937,10,Outstanding Production,,In Old Chicago ,20th Century-Fox
1937,10,Outstanding Production,1,The Life of Emile Zola ,Warner Brothers
1937,10,Outstanding Production,,Lost Horizon ,Columbia
1937,10,Outstanding Production,,One Hundred Men and a Girl ,Universal
1937,10,Outstanding Production,,Stage Door ,RKO Radio
1937,10,Outstanding Production,,A Star Is Born ,Selznick International Pictures
1937,10,Short Subject (Cartoon),,Educated Fish ,Paramount
1937,10,Short Subject (Cartoon),,The Little Match Girl ,"Charles Mintz, Producer"
1937,10,Short Subject (Cartoon),1,The Old Mill ,"Walt Disney, Producer"
1937,10,Short Subject (Color),,The Man without a Country ,Warner Brothers
1937,10,Short Subject (Color),1,Penny Wisdom ,"Pete Smith, Producer"
1937,10,Short Subject (Color),,Popular Science J-7-1 ,Paramount
1937,10,Short Subject (One Reel),,A Night at the Movies ,Metro-Goldwyn-Mayer
1937,10,Short Subject (One Reel),1,The Private Life of the Gannets ,Skibo Productions
1937,10,Short Subject (One Reel),,Romance of Radium ,"Pete Smith, Producer"
1937,10,Short Subject (Two Reel),,Deep South ,RKO Radio
1937,10,Short Subject (Two Reel),,Should Wives Work? ,RKO Radio
1937,10,Short Subject (Two Reel),1,Torture Money ,Metro-Goldwyn-Mayer
1937,10,Sound Recording,,The Girl Said No ,"Grand National Studio Sound Department, A. E. Kaye, Sound Director"
